,target,sms,sms_clean,num_characters,num_words
41,1,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",did i forget tell   i want   i need   i crave     but     i love sweet arabian steed     mmmmmm     yummy,142,35
42,0,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351   rodger burns   msg   we tried call reply sms free nokia mobile   free camcorder   please call 08000930705 delivery tomorrow,172,34
43,1,WHO ARE YOU SEEING?,who are you seeing  ,19,5
44,1,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great   i hope like man well endowed   i     lt   gt     inches    ,72,20
45,1,No calls..messages..missed calls,no calls    messages    missed calls,32,7
46,1,Didn't you get hep b immunisation in nigeria.,did n t get hep b immunisation nigeria  ,45,10
47,1,"Fair enough, anything going on?",fair enough   anything going  ,31,7
48,1,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully   tyler ca n t i could maybe ask around bit,67,16
49,1,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u n t know stubborn i   i n t even want go hospital   i kept telling mark i  m weak sucker   hospitals weak suckers  ,148,37
50,1,What you thinked about me. First time you saw me in class.,what thinked   first time saw class  ,58,14
51,1,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",a gram usually runs like     lt   gt     half eighth smarter though gets almost whole second gram     lt   gt  ,124,29
52,1,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ride early tomorrow morning  s crashing place tonight,80,17
53,1,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",wow   i never realized embarassed accomodations   i thought liked   since best could always seemed happy   cave     i  m sorry i n t n t give   i  m sorry offered   i  m sorry room embarassing  ,289,69
54,0,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms   ac sptv   the new jersey devils detroit red wings play ice hockey   correct incorrect   end   reply end sptv,120,27
55,1,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,do know mallika sherawat yesterday   find       lt url gt  ,76,17
56,0,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrats   1 year special cinema pass 2   call 09061209465   c suprman v   matrix3   starwars3   etc 4 free   bx420   ip4   5we   150pm   do nt miss  ,161,42
57,1,"Sorry, I'll call later in meeting.",sorry   i  ll call later meeting  ,34,9
58,1,Tell where you reached,tell reached,22,4
59,1,Yes..gauti and sehwag out of odi series.,yes    gauti sehwag odi series  ,40,10
60,1,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,your gon na pick   1 burger way home   i ca n t even move   pain killing  ,108,29
61,1,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke   girls situation seekers  ,48,11
62,1,Its a part of checking IQ,its part checking iq,25,6
63,1,"Sorry my roommates took forever, it ok if I come by now?",sorry roommates took forever   ok i come  ,56,14
64,1,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar double check wif da hair dresser already said wun cut v short   he said cut look nice  ,110,26
65,0,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",as valued customer   i pleased advise following recent review mob no   awarded   1500 bonus prize   call 09066364589,152,32
66,1,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",today   song dedicated day      which song u dedicate   send ur valuable frnds first rply    ,122,28
67,0,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur awarded complimentary trip eurodisinc trav   aco entry41 or   1000   to claim txt dis 87121 18   6  1 50 morefrmmob   shracomorsglsuplt 10   ls1 3aj,159,29
68,0,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",did hear new   divorce barbie     it comes ken  s stuff  ,78,20
69,1,I plane to give on this month end.,i plane give month end  ,34,9
70,1,Wah lucky man... Then can save money... Hee...,wah lucky man     then save money     hee    ,46,11
71,1,Finished class where are you.,finished class  ,29,6
72,1,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im at home now wanna do something   xx,45,11
73,1,K..k:)where are you?how did you performed?,k    k  where you how performed  ,42,9
74,1,U can call me now...,u call    ,20,6
75,1,I am waiting machan. Call me once you free.,i waiting machan   call free  ,43,11
76,1,Thats cool. i am a gentleman and will treat you with dignity and respect.,that cool   gentleman treat dignity respect  ,73,17
77,1,I like you peoples very much:) but am very shy pa.,i like peoples much    shy pa  ,50,13
78,1,Does not operate after  &lt;#&gt;  or what,does operate     lt   gt    ,42,11
79,1,Its not the same here. Still looking for a job. How much do Ta's earn there.,its   still looking job   how much ta  s earn  ,76,20
80,1,"Sorry, I'll call later",sorry   i  ll call later,22,6
81,1,K. Did you call me just now ah? ,k  did call ah  ,32,9
82,1,Ok i am on the way to home hi hi,ok way home hi hi,32,10
83,1,You will be in the place of that man,you place man,36,9
84,1,Yup next stop.,yup next stop  ,14,4
85,1,"I call you later, don't have network. If urgnt, sms me.",i call later   n t network   if urgnt   sms  ,55,16
86,1,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,for real u getting yo   i need 2 tickets one jacket i  m done   i already used multis  ,121,30
87,1,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes i started send requests make pain came back i  m back bed   double coins factory   i got ta cash nitros  ,144,36
88,1,I'm really not up to it still tonight babe,i  m really still tonight babe,42,10
89,1,"Ela kano.,il download, come wen ur free..",ela kano    il download   come wen ur free   ,41,11
90,1,Yeah do! Don‘t stand to close tho- you‘ll catch something!,yeah   don t stand close tho  you ll catch something  ,58,12
91,1,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry pain   is ok meet another night   i spent late afternoon casualty means n t done stuff42moro includes time sheets   sorry  ,195,44
92,1,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts u smile becoz someone still loves see u smiling    ,141,28
93,0,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call customer service representative 0800 169 6031 10am 9pm won guaranteed   1000 cash   5000 prize  ,137,26
94,1,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,have nt planning buy later   i check already lido got 530 show e afternoon   u finish work already  ,107,24
95,0,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",your free ringtone waiting collected   simply text password   mix   85069 verify   get usher britney   fml   po box 5249   mk17 92h  450ppw 16,158,36
96,1,Watching telugu movie..wat abt u?,watching telugu movie    wat abt u  ,33,8
97,1,i see. When we finish we have loads of loans to pay,see   when finish loads loans pay,51,13
98,1,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",hi   wk ok   hols   yes bit run   forgot hairdressers appointment four need get home n shower beforehand   does cause prob u    ,178,44
99,1,I see a cup of coffee animation,i see cup coffee animation,31,7
100,1,Please don't text me anymore. I have nothing else to say.,please n t text anymore   i nothing else say  ,57,14
101,1,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price long legal   wen i pick   y u ave x ams xx,81,23
102,1,I'm still looking for a car to buy. And have not gone 4the driving test yet.,i  m still looking car buy   and gone 4the driving test yet  ,76,19
103,1,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per request   melle melle   oru minnaminunginte nurungu vettam     set callertune callers   press   9 copy friends callertune,160,32
104,1,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow   you  re right   i n t mean   i guess gave boston men changed search location nyc   something changed   cuz signin page still says boston  ,183,44
105,1,Umma my life and vava umma love you lot dear,umma life vava umma love lot dear,44,10
106,1,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thanks lot wishes birthday   thanks making birthday truly memorable  ,95,19
107,1,"Aight, I'll hit you up when I get some cash",aight   i  ll hit i get cash,43,12
108,1,How would my ip address test that considering my computer isn't a minecraft server,how would ip address test considering computer n t minecraft server,82,15
109,1,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,i know   grumpy old people   my mom like better lying   then i always one play jokes    ,115,28
110,1,Dont worry. I guess he's busy.,do nt worry   i guess  s busy  ,30,10
111,1,What is the plural of the noun research?,what plural noun research  ,40,9
112,1,Going for dinner.msg you after.,going dinner msg  ,31,6
113,1,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,i  m ok wif cos like 2 try new things   but scared u dun like mah   cos u said loud  ,96,28
114,0,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent   we trying contact   last weekends draw shows   1000 prize guaranteed   call 09064012160   claim code k52   valid 12hrs   150ppm,158,34
115,1,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa   ur openin sentence formal     anyway    m fine   juz tt  m eatin much n puttin weight     haha     so anythin special happened  ,143,34
116,1,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",as i entered cabin pa said      happy b day boss          i felt special   she askd 4 lunch   after lunch invited apartment   we went  ,156,40
117,0,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,you winner u specially selected 2 receive   1000 4   holiday   flights inc   speak live operator 2 claim 0871277810910p   min   18    ,152,36
118,1,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo   yes must speak friday   egg   potato ratio tortilla needed  ,72,16
119,1,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm     uncle informed  s paying school directly   so pls buy food  ,86,20
120,0,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private   your 2004 account statement 07742676969 shows 786 unredeemed bonus points   to claim call 08719180248 identifier code   45239 expires,144,23
121,0,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent   your mobile no   awarded   2000 bonus caller prize 5 9 03 this final try contact u   call landline 09064019788 box42wr29c   150ppm,156,31
122,1,here is my new address -apples&pairs&all that malarky,new address  apples pairs all malarky,53,8
123,0,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,todays voda numbers ending 7548 selected receive   350 award   if match please call 08712300220 quoting claim code 4041 standard rates app,156,29
124,1,I am going to sao mu today. Will be done only at 12 ,i going sao mu today   will done 12,52,14
125,1,Ü predict wat time ü'll finish buying?,ü predict wat time ü ll finish buying  ,38,8
126,1,"Good stuff, will do.",good stuff    ,20,6
127,1,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",just know   yetunde n t sent money yet   i sent text bother sending   so   nt involve anything   i n t imposed anything first place   apologise  ,244,57
128,1,Are you there in room.,are room  ,22,6
129,1,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl   how r u   hope u r well me an del r bak   again long time no c   give me a call sum time from lucyxx,107,31
130,1,K..k:)how much does it cost?,k    k  how much cost  ,28,8
131,1,I'm home.,i  m home  ,9,4
132,1,"Dear, will call Tmorrow.pls accomodate.",dear   call tmorrow pls accomodate  ,39,7
133,1,First answer my question.,first answer question  ,25,5
134,0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,sunshine quiz wkly q   win top sony dvd player u know country algarve   txt ansr 82277     1 50 sp   tyrone,125,31
135,0,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want 2 get laid tonight   want real dogging locations sent direct 2 ur mob   join uk  s largest dogging network bt txting gravel 69888   nt   ec2a   31p msg 150p,162,34
136,1,I only haf msn. It's yijue@hotmail.com,i haf msn   it  s yijue hotmail com,38,8
137,1,He is there. You call and meet him,he   you call meet,34,9
138,1,No no. I will check all rooms befor activities,no   i check rooms befor activities,46,10
139,0,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,you  ll rcv msgs chat svc   for free hardcore services text go   69988 if u get nothing u must age verify yr network   try,155,35
140,1,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,got c     i lazy type     i forgot ü lect     i saw pouch like v nice    ,85,24
141,1,"K, text me when you're on the way",k   text  re way,33,10
142,1,"Sir, Waiting for your mail.",sir   waiting mail  ,27,7
143,1,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",a swt thought     nver get tired little things 4 lovable persons      coz    somtimes little things occupy biggest part hearts    gud ni8,156,33
144,1,I know you are. Can you pls open the back?,i know   can pls open back  ,42,12
145,1,Yes see ya not on the dot,yes see ya dot,25,7
146,1,Whats the staff name who is taking class for us?,what staff name taking class us  ,48,12
147,0,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",freemsg why n t replied text   i  m randy   sexy   female live local   luv hear u  netcollex ltd 08700621170150p per msg reply stop end,159,35
148,1,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummma will call check in our life begin qatar pls pray hard  ,84,16
149,1,K..i deleted my contact that why?,k    deleted contact  ,33,9
150,1,Sindu got job in birla soft ..,sindu got job birla soft   ,30,7
151,1,The wine is flowing and i'm i have nevering..,the wine flowing  m nevering   ,45,11
152,1,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup thk cine better cos need 2 go 2 plaza mah  ,59,16
153,1,Ok... Ur typical reply...,ok     ur typical reply    ,25,6
154,1,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per request   melle melle   oru minnaminunginte nurungu vettam     set callertune callers   press   9 copy friends callertune,160,32
155,1,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",you everywhere dirt   floor   windows   even shirt   and sometimes open mouth   comes flowing   i dream world without   half chores   a time joy   lots tv shows i ll see   but guess like things must exist   like rain   hail mist   time done   become one  ,384,95
156,1,Aaooooright are you at work?,aaooooright work  ,28,6
157,1,I'm leaving my house now...,i  m leaving house    ,27,7
158,1,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello   love   what   did get interview today   are happy   are good boy   do think me are missing  ,157,39
159,0,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,customer service annoncement   you new years delivery waiting   please call 07046744435 arrange delivery,124,21
160,0,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,you winner u specially selected 2 receive   1000 cash 4   holiday   flights inc   speak live operator 2 claim 0871277810810,145,31
161,1,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep safe i need i miss already i envy everyone see  s real life,115,25
162,1,New car and house for my parents.:)i have only new job in hand:),new car house parents   i new job hand   ,64,14
163,1,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,i  m love   i  m excited day spend   you make happy  ,85,24
164,0,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468, pls stop bootydelious   32   f   inviting friend   reply yes 434 no 434 see   www sms ac u bootydelious stop   send stop frnd 62468,152,31
165,0,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",bangbabes ur order way   u should receive service msg 2 download ur content   if u   goto wap   bangb   tv ur mobile internet   service menu,155,37
166,1,I place all ur points on e cultures module already.,i place ur points e cultures module already  ,51,11
167,0,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent   we trying contact   last weekends draw shows   900 prize guaranteed   call 09061701939   claim code s89   valid 12hrs,156,33
168,1,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd   best way avoid missunderstding wit beloved one  s  ,74,16
169,1,Great escape. I fancy the bridge but needs her lager. See you tomo ,great escape   i fancy bridge needs lager   see tomo,67,15
170,1,Yes :)it completely in out of form:)clark also utter waste.,yes    completely form  clark also utter waste  ,59,12
171,1,"Sir, I need AXIS BANK account no and bank address.",sir   i need axis bank account bank address  ,50,12
172,1,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm    thk sure got time hop ard     ya   go 4 free abt     muz call u discuss liao    ,94,25
173,1,What time you coming down later? ,what time coming later  ,33,7
174,1,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",bloody hell   ca nt believe forgot surname mr   ill give u clue   spanish begins    ,105,25
175,1,"Well, i'm gonna finish my bath now. Have a good...fine night.",well    m gon na finish bath   have good     fine night  ,61,18
176,1,Let me know when you've got the money so carlos can make the call,let know  ve got money carlos make call,65,15
177,1,U still going to the mall?,u still going mall  ,26,7
178,1,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turns friends staying whole show wo n t back til     lt   gt     feel free go ahead smoke     lt   gt     worth,146,36
179,1,Text her. If she doesnt reply let me know so i can have her log in,text   if nt reply let know log,66,18
180,1,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi   you spoke maneesha v  we  d like know satisfied experience   reply toll free yes no  ,126,29
181,1,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,you lifted hopes offer money   i need   especially end month approaches hurts studying   anyways gr8 weekend,159,34
182,1,Lol no. U can trust me.,lol   u trust  ,23,8
183,1,ok. I am a gentleman and will treat you with dignity and respect.,ok   i gentleman treat dignity respect  ,65,15
184,1,"He will, you guys close?",he   guys close  ,24,7
185,1,Going on nothing great.bye,going nothing great bye,26,4
186,1,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsome   are finding job   not lazy   working towards getting back net mummy   where  s boytoy   does miss  ,152,33
187,1,"Haha awesome, be there in a minute",haha awesome   minute,34,8
188,0,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call customer service representative freephone 0808 145 4742 9am 11pm won guaranteed   1000 cash   5000 prize  ,147,27
189,1,Have you got Xmas radio times. If not i will get it now,have got xmas radio times   if get,55,14
190,1,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,i jus reached home   i go bathe first   but sis using net tell u finishes k    ,88,22
191,0,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,are unique enough   find 30th august   www areyouunique co uk,72,12
192,1,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,i  m sorry   i  ve joined league people nt keep touch   you mean great deal   you friend times even great personal cost   do great week  ,185,45
193,1,Hi :)finally i completed the course:),hi    finally completed course   ,37,8
194,1,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,it stop   i however suggest stays someone able give ors every stool  ,111,24
195,1,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,how   hope  ve settled new school year   just wishin gr8 day,92,22
196,1,Gud mrng dear hav a nice day,gud mrng dear hav nice day,28,7
197,1,Did u got that persons story,did u got persons story,28,6
